NumJour;Heure;WE;HBureau;Vacances;HScolaire;NbVehicules
1;13;0;1;0;0;33
1;14;0;1;0;0;26
1;15;0;1;0;0;21
1;16;0;1;0;0;35
1;17;0;1;0;0;29
1;18;0;1;0;1;37
1;19;0;0;0;0;25
1;20;0;0;0;0;13
1;21;0;0;0;0;8
1;22;0;0;0;0;7
1;23;0;0;0;0;3
2;0;0;0;0;0;3
2;1;0;0;0;0;1
2;2;0;0;0;0;0
2;3;0;0;0;0;1
2;4;0;0;0;0;2
2;5;0;0;0;0;4
2;6;0;0;0;0;13
2;7;0;0;0;0;29
2;8;0;1;0;1;55
2;9;0;1;0;0;41
2;10;0;1;0;0;28
2;11;0;1;0;0;27
2;12;0;1;0;0;35
2;13;0;1;0;0;38
2;14;0;1;0;0;27
2;15;0;1;0;0;16
2;16;0;1;0;0;29
2;17;0;1;0;0;49
2;18;0;1;0;1;37
